experiment_id,gene,missing_all,missing_labelled,missing_interior,missing_boundary,largest_connected_gap,slab_score,intensity_score
74658173,Ndufa10,0.395365,0.0571642,0.0513854,0.0936665,1081,1,0.136135
71247618,Grik2,0.38602,0.0789244,0.0687346,0.143289,2383,1,0.317041
74511936,Dmp1,0.393006,0.0396925,0.0344225,0.0729808,1145,0.279532,0.0677991
571,Hnrnpdl,0.436897,0.0456011,0.0315892,0.134108,1100,0.186103,0.167899
2719,Wdr31,0.408264,0.055687,0.040549,0.151307,1605,0.181038,0.229893
79591731,Lhx1,0.472804,0.232802,0.238014,0.199884,2740,1,0.251398
2444,Nudt9,0.35728,0.0268746,0.021084,0.0634515,882,1,0.348216
75079789,Hmgcr,0.454025,0.150511,0.146171,0.17792,1306,1,0.323366
74882764,Ptcd1,0.384124,0.0783208,0.0721382,0.117374,1409,0.976986,0.186349
74581380,Etfa,0.330844,0.0368176,0.0318284,0.0683324,882,0.87772,0.359936
77866850,Hspb8,0.420741,0.142315,0.139272,0.161534,1409,1,0.0655662
75043143,Arl3,0.392152,0.0554647,0.0476322,0.104939,1890,0.783019,0.224247
71064267,Synj2,0.425191,0.0530027,0.0453141,0.101569,1413,1,0.180002
764,Pax6,0.409004,0.0588002,0.0377341,0.191865,1245,0.111303,0.110216
324214,Ccdc136,0.472735,0.177687,0.167734,0.240558,6785,0.651292,0.150789
1960,Tmem218,0.472741,0.109611,0.0940501,0.207902,1009,0.436721,0.317663
77887882,Tdrd3,0.432516,0.134659,0.129834,0.165137,1880,1,0.252968
2717,Dcaf4,0.439752,0.0460617,0.0285904,0.156421,882,0.0518304,0.333828
972,Slc25a3,0.342323,0.0379294,0.0316996,0.0772807,1708,0.0536888,0.0871251
74047400,Zdbf2,0.420465,0.0727458,0.0675387,0.105636,2277,0.852809,0.149586
238,Cdh6,0.441152,0.0510173,0.0404754,0.117606,2120,0.0721187,0.326071
74988756,LOC381742,0.402521,0.0842771,0.0768297,0.131319,1658,0.586044,0.157017
71016692,Rap2a,0.439319,0.0842612,0.0769585,0.130389,2110,0.997776,0.190149
74641159,Gca,0.429083,0.0833082,0.0757994,0.130738,1435,0.759803,0.0851994
71920510,Stk32a,0.353558,0.0188218,0.0128601,0.0564788,626,0.0827618,0.0829709
73635771,Rgs2,0.419084,0.124192,0.112154,0.200232,3191,0.930636,0.157117
74047899,Hspa12a,0.405012,0.0459188,0.0371822,0.101104,1890,0.0873959,0.265251
70744324,Atp11b,0.392095,0.0277959,0.021268,0.0690296,1145,0.0450387,0.199446
74881937,Arap2,0.361027,0.0524309,0.0464547,0.0901801,1658,0.700761,0.200077
75077243,Gprin1,0.354751,0.0325609,0.026217,0.0726322,1425,0.0534292,0.321009
1233,N6amt1,0.452826,0.0456805,0.0287191,0.152818,1265,0.140744,0.288143
74819671,Prcp,0.359081,0.0473959,0.0427015,0.0770482,1409,0.534149,0.123715
74958587,Sned1,0.389798,0.119999,0.118483,0.129576,5030,0.673732,0.485585
74357578,Igsf21,0.359339,0.0319891,0.0259227,0.070308,1409,0.0537114,0.362641
247974,Zscan22,0.444171,0.137391,0.125014,0.215572,2004,0.664016,0.172058
72283811,Fst,0.308292,0.0312108,0.0259227,0.0646136,1409,0.0537114,0.131356
79556634,Ctgf,0.431028,0.115599,0.103175,0.194073,1617,0.969409,0.210826
74819253,LOC434368,0.398535,0.130307,0.126706,0.153051,1409,1,0.407933
2613,Slc35b2,0.429942,0.0487619,0.0330059,0.148286,1038,0.059408,0.238451
72008123,Cgnl1,0.416887,0.0795279,0.0727637,0.122255,2318,0.858201,0.143928
675,ND3,0.407322,0.0327038,0.0188395,0.120279,626,0.0586534,0.106271
1276,Rnf11,0.451282,0.0395178,0.0237701,0.138989,1145,0.0882957,0.119027
74272038,Draxin,0.404498,0.156229,0.153218,0.175247,1658,0.444776,0.375795
73635775,Kcnq4,0.468266,0.242142,0.244251,0.22882,7691,1,0.059682
2563,Sfrp1,0.349629,0.0564653,0.0426464,0.143754,1409,0.0543993,0.362614
1766,Ldlr,0.374729,0.0491907,0.0373846,0.123765,1164,0.696314,0.0710386
74641315,Atp6v1a,0.320462,0.0360076,0.0305037,0.0707728,1658,0.0498643,0.117596
79568020,Zbtb20,0.345625,0.0818787,0.0692129,0.161883,1409,0.678624,0.140284
72079959,Efnb2,0.392905,0.0277959,0.0212128,0.0693783,1145,0.0450387,0.454871
70805896,Lrrtm1,0.422762,0.0923935,0.088034,0.11993,3331,0.782417,0.168766
75084134,Serpina1e,0.382825,0.0591973,0.0545682,0.088437,1658,1,0.107902
71836891,Asb11,0.34838,0.0425356,0.0366118,0.0799535,1658,0.1304,0.194195
73521804,Pvrl3,0.387959,0.0935053,0.0875741,0.13097,1462,0.467023,0.294543
71670708,Unc5c,0.379474,0.0679807,0.0597748,0.119814,2078,0.490322,0.239216
73931633,Dusp5,0.39507,0.123509,0.109541,0.211737,1658,0.638248,0.356393
70612725,Tspan15,0.376787,0.0588796,0.051183,0.107496,2110,0.269293,0.456301
72340129,Cmklr1,0.375118,0.0603885,0.0551017,0.0937827,1340,1,0.087288
1049,Tff1,0.379662,0.0354516,0.0246348,0.103777,1173,0.11028,0.15139
655120,Arf3,0.391167,0.0590067,0.0487545,0.123765,1145,0.621724,0.216166
77332102,B4gat1,0.495042,0.241109,0.243349,0.226961,5395,1,0.16824
75081393,Col6a3,0.408923,0.141028,0.13631,0.170831,5517,0.487821,0.237309
75080643,Dscaml1,0.36554,0.0828317,0.0732789,0.143173,2565,1,0.251141
2075,Sdccag3,0.433256,0.0448228,0.0298046,0.139686,1145,0.0847799,0.354087
67855413,Gosr2,0.433256,0.119618,0.108253,0.1914,1615,0.87702,0.278584
616,Kitl,0.519507,0.251179,0.24013,0.320976,6942,0.452124,0.217307
77869842,Tgfb2,0.46221,0.271621,0.273945,0.256944,4572,1,0.0776046
1494,Etv3,0.593349,0.266316,0.244159,0.406275,4272,0.57349,0.458612
1643,1700086L19Rik,0.470545,0.111692,0.096589,0.207089,1157,0.936202,0.105424
293038,Ola1,0.438773,0.0840071,0.0741988,0.145962,1890,1,0.232536
321208,Fbln2,0.437976,0.12146,0.112614,0.177339,2383,0.497252,0.282385
74882784,Ptprr,0.361234,0.0715863,0.06695,0.100872,1316,1,0.166874
